thesis-062	0.00	0	0.00	0	-	0.98	0	0.00	0	-	0.98
thesis-004	0.00	0	0.00	0	-	3.41	0	0.00	0	-	3.41
thesis-065	0.00	0	0.00	0	-	3.84	0	0.00	0	-	3.84
thesis-064	4.27	1	1.97	0	-	0.00	0	0.00	0	-	6.24
thesis-056	8.88	1	1.95	0	-	0.00	0	0.00	0	-	10.84
thesis-006	21.72	0	0.00	0	-	0.00	0	0.00	0	-	21.72
thesis-046	0.00	0	0.00	0	-	6.40	1	20.47	0	-	26.86
thesis-015	28.12	0	0.00	0	-	0.00	0	0.00	0	-	28.12
thesis-034	28.70	0	0.00	0	-	0.00	0	0.00	0	-	28.7
thesis-017	29.43	0	0.00	0	-	0.00	0	0.00	0	-	29.43
thesis-031	31.15	1	1.59	1	1.58	0.00	0	0.00	0	-	34.32
thesis-025	51.15	0	0.00	1	20.08	0.00	0	0.00	0	-	71.23
thesis-014	45.94	1	15.88	1	15.88	0.00	0	0.00	0	-	77.7
thesis-045	0.00	0	0.00	0	-	27.73	1	53.22	0	-	80.95
thesis-044	0.00	0	0.00	0	-	91.31	0	0.00	0	-	91.31
thesis-016	26.24	0	0.00	0	-	50.33	1	49.64	0	-	126.21
thesis-005	0.00	0	0.00	0	-	189.20	0	0.00	0	-	189.2
thesis-030	27.69	2	199.63	0	-	0.00	0	0.00	0	-	227.31
thesis-012	0.00	0	0.00	0	-	115.86	1	301.65	0	-	417.51
thesis-008	20.11	2	449.77	0	-	0.00	0	0.00	0	-	469.88
thesis-019	68.74	2	1757.69	1	1083.2	0.00	0	0.00	0	-	2909.63
thesis-009	175.68	4	2822.88	0	-	0.00	0	0.00	0	-	2998.56
thesis-007	236.93	5	3344.01	0	-	0.00	0	0.00	0	-	3580.95
